Genome,vOTU ID,ClusterStatus,VCStatus,contig_length,provirus,proviral_length,gene_count,viral_genes,host_genes,checkv_quality,miuvig_quality,completeness,completeness_method,contamination,kmer_freq,warnings,clstr,clstr_size,length,clstr_rep,clstr_iden,clstr_cov,Phylum,Class,Order,Family,Genus,ICTV_Phylum,ICTV_Class,ICTV_Order,ICTV_Family,ICTV_Genus,SampleID,SampleName,Cyanobacterial Order,Cyanobacterial Family,Cyanobacterial Genus,Cyanobacterial Speices,Strain,BioProject,SRA Accession No.,JGI IMGD No.,Reported Habitat,Habitat,Substrate,Location
TC11_NODE_424_length_40160_cov_12.293758,vOTU48,Unclustered,Unclustered,40160,No,NA,70,26,0,Medium-quality,Genome-fragment,75.14,HMM-based (lower-bound),0,1,low-confidence DTR,141,1,40160,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC11,Cyanosarcina radialis HA8281-LM2,Chroococcales,Chroococcaceae,Cyanosarcina ,Cyanosarcina radialis,HA8281-LM2,PRJNA653493,SRR12688412,3300037834,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC10_NODE_31_length_224460_cov_162.784317_fragment_3,vOTU31,Clustered,674_0,55391,Yes,26140,63,8,12,Low-quality,Genome-fragment,49.94,HMM-based (lower-bound),52.81,1.01,NA,270,1,26140,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC10,Cyanomargarita calcarea GSE-NOS-MK-12-04C,Nostocales,Cyanomargaritaceae,Cyanomargarita,Cyanomargarita calcarea,GSE-NOS-MK-12-04C,PRJNA621661,SRR11676926,3300035006,Desert wet wall,Desert,rock wall,"Utah, USA"
TC47_NODE_7_length_713845_cov_10.389930_fragment_7,vOTU605,Clustered,714_0,21635,No,NA,26,11,5,Low-quality,Genome-fragment,39.77,HMM-based (lower-bound),0,1,NA,320,1,21635,1,100,100%,Mixed,Mixed,Mixed,Mixed,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC47,Tolypothrix brevis GSE-NOS-MK-07-07A,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix brevis,GSE-NOS-MK-07-07A,PRJNA621662,SRR11678125,3300035007,Desert wet wall,Desert,rock wall,"Utah, USA"
TC47_NODE_7_length_713845_cov_10.389930_fragment_11,vOTU604,Unclustered,Unclustered,9933,No,NA,8,0,6,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,575,1,9933,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC47,Tolypothrix brevis GSE-NOS-MK-07-07A,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix brevis,GSE-NOS-MK-07-07A,PRJNA621662,SRR11678125,3300035007,Desert wet wall,Desert,rock wall,"Utah, USA"
TC21_NODE_306_length_31271_cov_30.025944,vOTU248,Unclustered,Unclustered,31271,No,NA,45,15,0,Low-quality,Genome-fragment,40.45,HMM-based (lower-bound),0,1,NA,236,2,31271,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC7_NODE_4_length_778944_cov_6.565113_fragment_7,vOTU659,Unclustered,Unclustered,21298,No,NA,19,0,2,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,326,1,21298,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC7,Brasilonema octagenarum HA4186-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,HA4186-MV1,PRJNA621669,SRR11678155,3300035014,On wood in tropics,Tropics,wood,"Hawaii, USA"
TC7_NODE_4_length_778944_cov_6.565113_fragment_1,vOTU657,Clustered,946_0,31058,No,NA,50,21,0,Low-quality,Genome-fragment,34.96,HMM-based (lower-bound),0,1,NA,240,1,31058,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC7,Brasilonema octagenarum HA4186-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,HA4186-MV1,PRJNA621669,SRR11678155,3300035014,On wood in tropics,Tropics,wood,"Hawaii, USA"
TC7_NODE_4_length_778944_cov_6.565113_fragment_6,vOTU658,Unclustered,Unclustered,11870,No,NA,16,0,0,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,529,1,11870,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC7,Brasilonema octagenarum HA4186-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,HA4186-MV1,PRJNA621669,SRR11678155,3300035014,On wood in tropics,Tropics,wood,"Hawaii, USA"
TC14_NODE_348_length_31590_cov_1.060420_fragment_1,vOTU91,Clustered,966_0,16843,No,NA,21,9,0,Low-quality,Genome-fragment,23.79,HMM-based (lower-bound),0,1,NA,402,1,16843,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC14,Drouetiella hepatica UHER 2000/2452,Pseudanabaenales,Oculatellaceae,Drouetiella,Drouetiella hepatica,UHER 2000/2452,PRJNA617097,SRR12347860,3300036391,Rock surface,Rock,rock wall,"Kosice, Slovakia"
TC8_NODE_28_length_293100_cov_2.336639_fragment_1,vOTU671,Unclustered,Unclustered,51453,No,NA,88,12,4,Medium-quality,Genome-fragment,75.2,HMM-based (lower-bound),0,1,NA,58,1,51453,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC8,Calothrix sp. FI2-JRJ7,Nostocales,Calotrichaceae,Calothrix,Calothrix sp.,FI2-JRJ7,PRJNA617096,SRR12347730,3300036390,Desert soil,Desert,soil,"California, USA"
TC26_NODE_30_length_179076_cov_2.816020_fragment_2,vOTU342,Clustered,1434_0,13237,No,NA,16,4,0,Low-quality,Genome-fragment,26.43,HMM-based (lower-bound),0,1,NA,484,1,13237,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC26,Myxacorys californica WJT36-NPBG1,Pseudanabaenales,Leptolyngbyaceae,Myxacorys,Myxacorys californica,WJT36-NPBG1,PRJNA621674,SRR11678221,3300035019,Desert soil,Desert,soil,"California, USA"
TC2_NODE_12_length_801235_cov_3.561314_fragment_1,vOTU181,Clustered,714_0,13854,No,NA,16,11,0,Low-quality,Genome-fragment,25.67,HMM-based (lower-bound),0,1,NA,472,1,13854,1,100,100%,Mixed,Mixed,Mixed,Mixed,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC2,Aphanocapsa lilacina HA4352-LM1,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa lilacina,HA4352-LM1,PRJNA677053,SRR13206895,3300039303,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC9_NODE_24_length_636103_cov_4.834009_fragment_1,vOTU686,Unclustered,Unclustered,88528,No,NA,85,4,9,High-quality,High-quality,95.52,HMM-based (lower-bound),0,1,NA,9,1,88528,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC36_NODE_672_length_11480_cov_2.104818,vOTU470,Unclustered,Unclustered,11480,No,NA,23,9,0,Low-quality,Genome-fragment,26.77,HMM-based (lower-bound),0,1,NA,538,1,11480,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC36,Pleurocapsa minor GSE-CHR-MK-17-07R,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa minor,GSE-CHR-MK-17-07R,PRJNA677054,SRR13207074,3300039304,Desert wet wall,Desert,rock wall,"Utah, USA"
TC15_NODE_840_length_14591_cov_75.606540,vOTU112,Clustered,1456_0,14591,No,NA,17,1,0,Low-quality,Genome-fragment,30.56,HMM-based (lower-bound),0,1,NA,453,1,14591,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC15,Gloeocapsa sp. UFS-A4-WI-NPMV-4B04,Chroococcales,Chroococcaceae,Gloeocapsa,Gloeocapsa sp.,UFS-A4-WI-NPMV-4B04,PRJNA617098,SRR12347921,3300036443,Desert soil,Desert,soil,"Utah, USA"
TC25_k99_2449_fragment_1,vOTU327,Unclustered,Unclustered,14399,No,NA,23,4,1,Low-quality,Genome-fragment,26.59,HMM-based (lower-bound),0,1,NA,458,2,14399,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
TC25_k99_9085_fragment_1,vOTU720,Clustered,1050_0,69948,Yes,57878,106,21,6,Medium-quality,Genome-fragment,84.85,HMM-based (lower-bound),17.26,1,NA,36,2,57878,0,100.00%,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
TC25_k99_5937_fragment_4,vOTU380,Unclustered,Unclustered,59573,Yes,57408,78,27,4,Medium-quality,Genome-fragment,89.98,HMM-based (lower-bound),3.63,1,NA,38,2,57408,0,100.00%,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
TC42_NODE_4_length_2038731_cov_15.672222_fragment_3,vOTU532,Clustered,714_0,21853,No,NA,25,13,2,Low-quality,Genome-fragment,39.75,HMM-based (lower-bound),0,1.01,NA,317,1,21853,1,100,100%,Mixed,Mixed,Mixed,Mixed,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC42,Stenomitos rutilans HA7619-LM2,Pseudanabaenales,Leptolyngbyaceae,Stenomitos,Stenomitos rutilans,HA7619-LM2,PRJNA617107,SRR12350322,3300036446,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC42_NODE_4_length_2038731_cov_15.672222_fragment_15,vOTU531,Unclustered,Unclustered,20160,No,NA,26,1,3,Low-quality,Genome-fragment,13.93,HMM-based (lower-bound),0,1,NA,350,1,20160,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC42,Stenomitos rutilans HA7619-LM2,Pseudanabaenales,Leptolyngbyaceae,Stenomitos,Stenomitos rutilans,HA7619-LM2,PRJNA617107,SRR12350322,3300036446,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC48_NODE_192_length_27554_cov_2.486054_fragment_1,vOTU608,Clustered,1453_0,13740,Yes,8632,15,5,3,Low-quality,Genome-fragment,9.25,HMM-based (lower-bound),37.18,1,NA,610,1,8632,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC48,Tolypothrix carrinoi HA7290-LM1,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix carrinoi,HA7290-LM1,PRJNA621663,SRR11678124,3300035008,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC50_NODE_7_length_404903_cov_219.973412_fragment_2,vOTU635,Unclustered,Unclustered,77724,Yes,45253,92,9,17,Low-quality,Genome-fragment,39.39,HMM-based (lower-bound),41.78,1,NA,87,1,45253,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC50,Trichormus sp. ATA11-4-KO1,Nostocales,Nostocaceae,Trichormus,Trichormus sp.,ATA11-4-KO1,PRJNA621660,SRR11676933,3300035005,Desert soil,Desert,soil,"Tarapaca, Chile"
TC39_NODE_511_length_21034_cov_86.696274,vOTU503,Clustered,1465_0,21034,No,NA,22,1,0,Low-quality,Genome-fragment,10.2,HMM-based (lower-bound),0,1,NA,331,1,21034,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC39,Scytonema hyalinum WJT4-NPBG1,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum,WJT4-NPBG1,PRJNA617106,SRR12349874,3300036520,Desert soil,Desert,soil,"California, USA"
TC22_k99_11250_fragment_1,vOTU274,Unclustered,Unclustered,53664,Yes,50133,82,24,4,Medium-quality,Genome-fragment,76.41,HMM-based (lower-bound),6.58,1,NA,62,1,50133,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC22,Komarekiella atlantica HA4396-MV6,Nostocales,Nostocaceae,Komarekiella,Komarekiella atlantica,HA4396-MV6,PRJNA650825,SRR12951531,3300038556,Tropical vernal pool,Tropics,water,"Hawaii, USA"
TC29_NODE_1164_length_6858_cov_13.078294,vOTU354,Unclustered,Unclustered,6858,No,NA,6,5,0,Low-quality,Genome-fragment,16.58,HMM-based (lower-bound),0,1,NA,655,1,6858,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC11_NODE_1356_length_7716_cov_3.232969,vOTU40,Clustered,1449_0,7716,No,NA,8,4,0,Low-quality,Genome-fragment,8.01,HMM-based (lower-bound),0,1,NA,633,1,7716,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC11,Cyanosarcina radialis HA8281-LM2,Chroococcales,Chroococcaceae,Cyanosarcina ,Cyanosarcina radialis,HA8281-LM2,PRJNA653493,SRR12688412,3300037834,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC37_NODE_63_length_179406_cov_2.528333_fragment_2,vOTU476,Unclustered,Unclustered,16145,No,NA,18,7,0,Low-quality,Genome-fragment,31.07,HMM-based (lower-bound),0,1,NA,417,1,16145,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC37,Pleurocapsa minor HA4230-MV1,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa minor,HA4230-MV1,PRJNA617104,SRR12349680,3300036396,Tropical rock wall,Tropics,rock wall,"Hawaii, USA"
TC15_NODE_142_length_78904_cov_1.463486_fragment_2,vOTU101,Unclustered,Unclustered,6136,Yes,4170,8,2,1,Low-quality,Genome-fragment,5.76,HMM-based (lower-bound),32.04,1,NA,720,1,4170,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC15,Gloeocapsa sp. UFS-A4-WI-NPMV-4B04,Chroococcales,Chroococcaceae,Gloeocapsa,Gloeocapsa sp.,UFS-A4-WI-NPMV-4B04,PRJNA617098,SRR12347921,3300036443,Desert soil,Desert,soil,"Utah, USA"
TC9_NODE_2228_length_6709_cov_1.063355,vOTU684,Unclustered,Unclustered,6709,Yes,4076,8,1,1,Low-quality,Genome-fragment,3.63,HMM-based (lower-bound),39.25,1,NA,721,1,4076,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC2_NODE_978_length_7902_cov_0.899035,vOTU210,Unclustered,Unclustered,7902,No,NA,13,1,0,Low-quality,Genome-fragment,16.66,HMM-based (lower-bound),0,1,NA,628,1,7902,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC2,Aphanocapsa lilacina HA4352-LM1,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa lilacina,HA4352-LM1,PRJNA677053,SRR13206895,3300039303,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC1_NODE_7_length_1551751_cov_58.689835_fragment_8,vOTU20,Unclustered,Unclustered,10919,No,NA,7,0,3,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,548,1,10919,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC1,Aetokthonos hydrillicola B3-Florida,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,B3-Florida,PRJNA617093,SRR12347192,3300036376,Aquatic epiphyte,Aquatic,plant,"South Carolina, USA"
TC1_NODE_7_length_1551751_cov_58.689835_fragment_13,vOTU19,Unclustered,Unclustered,32497,No,NA,36,1,4,Low-quality,Genome-fragment,28.85,HMM-based (lower-bound),0,1,NA,221,1,32497,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC1,Aetokthonos hydrillicola B3-Florida,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,B3-Florida,PRJNA617093,SRR12347192,3300036376,Aquatic epiphyte,Aquatic,plant,"South Carolina, USA"
TC9_NODE_1022_length_13183_cov_1.845129,vOTU676,Clustered,966_0,13183,No,NA,16,7,1,Low-quality,Genome-fragment,16.22,HMM-based (lower-bound),0,1,NA,486,1,13183,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC29_NODE_34_length_490366_cov_3.009440_fragment_2,vOTU382,Clustered,1481_0,20289,No,NA,33,3,1,Low-quality,Genome-fragment,17.77,HMM-based (lower-bound),0,1,NA,347,1,20289,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC23_NODE_19_length_552534_cov_19.632887_fragment_4,vOTU297,Unclustered,Unclustered,29988,No,NA,34,15,0,Low-quality,Genome-fragment,40.16,HMM-based (lower-bound),0,1,NA,246,1,29988,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC23,Lyngbya sp. HA4199-MV5,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya sp.,HA4199-MV5,PRJNA621654,SRR11676618,3300034630,Tropical soil,Tropics,soil,"Hawaii, USA"
TC2_NODE_129_length_178198_cov_4.280950_fragment_2,vOTU184,Clustered,187_0,40540,Yes,38375,53,22,2,Medium-quality,Genome-fragment,83,HMM-based (lower-bound),5.34,1,NA,167,1,38375,1,100,100%,Uroviricota,Caudoviricetes,Unclassified,Unclassified,Bcepmuvirus,Uroviricota,Caudoviricetes,Unclassified,Unclassified,Bcepmuvirus,TC2,Aphanocapsa lilacina HA4352-LM1,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa lilacina,HA4352-LM1,PRJNA677053,SRR13206895,3300039303,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC21_NODE_305_length_31290_cov_1.652408_fragment_1,vOTU247,Unclustered,Unclustered,18276,No,NA,21,14,0,Low-quality,Genome-fragment,27.45,HMM-based (lower-bound),0,1,NA,370,1,18276,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC4_NODE_3_length_833065_cov_20.884863_fragment_4,vOTU512,Unclustered,Unclustered,40871,No,NA,62,24,0,Medium-quality,Genome-fragment,83.27,HMM-based (lower-bound),0,1,NA,134,1,40871,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC4,Aphanothece saxicola GSE-SYN-MK-01-06B,Chroococcales,Aphanothecaceae,Aphanothece,Aphanothece saxicola,GSE-SYN-MK-01-06B,PRJNA621658,SRR11676827,3300035003,Desert wet wall,Desert,rock wall,"Utah, USA"
TC8_NODE_71_length_156221_cov_8.690571_fragment_1,vOTU675,Unclustered,Unclustered,39439,No,NA,58,18,0,Medium-quality,Genome-fragment,85.59,HMM-based (lower-bound),0,1,NA,152,1,39439,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC8,Calothrix sp. FI2-JRJ7,Nostocales,Calotrichaceae,Calothrix,Calothrix sp.,FI2-JRJ7,PRJNA617096,SRR12347730,3300036390,Desert soil,Desert,soil,"California, USA"
TC9_NODE_76_length_230538_cov_3.780197_fragment_1,vOTU708,Clustered,1485_0,37929,No,NA,53,7,2,Low-quality,Genome-fragment,34.94,HMM-based (lower-bound),0,1,NA,173,1,37929,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC6_NODE_8_length_890968_cov_10.489581_fragment_11,vOTU648,Unclustered,Unclustered,50125,No,NA,62,8,0,Low-quality,Genome-fragment,40.87,HMM-based (lower-bound),0,1,NA,63,1,50125,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC6,Brasilonema angustatum HA4187-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,CMT-3BRIN-NPC111,PRJNA617095,SRR12347719,3300036389,Tropical soil,Tropics,soil,"Hawaii, USA"
TC6_NODE_8_length_890968_cov_10.489581_fragment_14,vOTU649,Clustered,1031_0,43935,No,NA,37,0,10,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,101,1,43935,1,100,100%,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC6,Brasilonema angustatum HA4187-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,CMT-3BRIN-NPC111,PRJNA617095,SRR12347719,3300036389,Tropical soil,Tropics,soil,"Hawaii, USA"
TC6_NODE_124_length_52400_cov_14.404090,vOTU639,Clustered,1447_0,52400,No,NA,73,8,2,Medium-quality,Genome-fragment,66.84,HMM-based (lower-bound),0,1,NA,51,1,52400,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC6,Brasilonema angustatum HA4187-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,CMT-3BRIN-NPC111,PRJNA617095,SRR12347719,3300036389,Tropical soil,Tropics,soil,"Hawaii, USA"
TC11_NODE_591_length_27071_cov_1.682675,vOTU50,Clustered,319_0,27071,No,NA,39,12,1,Low-quality,Genome-fragment,49.85,HMM-based (lower-bound),0,1,NA,267,1,27071,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC11,Cyanosarcina radialis HA8281-LM2,Chroococcales,Chroococcaceae,Cyanosarcina ,Cyanosarcina radialis,HA8281-LM2,PRJNA653493,SRR12688412,3300037834,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC46_NODE_897_length_8990_cov_1.257588,vOTU600,Unclustered,Unclustered,8990,No,NA,14,3,0,Low-quality,Genome-fragment,16.68,HMM-based (lower-bound),0,1,NA,604,1,8990,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC46,Timaviella obliquedivisa GSE-PSE-MK23-08B,Pseudanabaenales,Oculatellaceae,Timaviella,Timaviella obliquedivisa,GSE-PSE-MK23-08B,PRJNA621673,SRR11678220,3300035018,Desert wet wall,Desert,rock wall,"Utah, USA"
TC36_NODE_18_length_574092_cov_3.736860_fragment_5,vOTU461,Clustered,1455_0,22012,Yes,15421,32,6,7,Low-quality,Genome-fragment,17.19,HMM-based (lower-bound),29.94,1,NA,438,2,15421,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC36,Pleurocapsa minor GSE-CHR-MK-17-07R,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa minor,GSE-CHR-MK-17-07R,PRJNA677054,SRR13207074,3300039304,Desert wet wall,Desert,rock wall,"Utah, USA"
TC35_NODE_52_length_75120_cov_138.760244_fragment_2,vOTU451,Unclustered,Unclustered,16706,No,NA,15,5,0,Low-quality,Genome-fragment,14.38,HMM-based (lower-bound),0,1,NA,408,1,16706,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC35,Plectolyngbya sp. WJT66-NPBG17,Pseudanabaenales,Leptolyngbyaceae,Plectolyngbya,Plectolyngbya sp.,WJT66-NPBG17,PRJNA617103,SRR12349534,3300036395,Desert soil,Desert,soil,"California, USA"
