contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
TC14_NODE_348_length_31590_cov_1.060420_fragment_1	16843	No	NA	21	9	0	Low-quality	Genome-fragment	23.79	HMM-based (lower-bound)	0.0	1.0	
TC8_NODE_28_length_293100_cov_2.336639_fragment_1	51453	No	NA	88	12	4	Medium-quality	Genome-fragment	75.2	HMM-based (lower-bound)	0.0	1.0	
TC26_NODE_30_length_179076_cov_2.816020_fragment_2	13237	No	NA	16	4	0	Low-quality	Genome-fragment	26.43	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_12_length_801235_cov_3.561314_fragment_1	13854	No	NA	16	11	0	Low-quality	Genome-fragment	25.67	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_24_length_636103_cov_4.834009_fragment_1	88528	No	NA	85	4	9	High-quality	High-quality	95.52	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_672_length_11480_cov_2.104818	11480	No	NA	23	9	0	Low-quality	Genome-fragment	26.77	HMM-based (lower-bound)	0.0	1.0	
TC15_NODE_840_length_14591_cov_75.606540	14591	No	NA	17	1	0	Low-quality	Genome-fragment	30.56	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_2449_fragment_1	14399	No	NA	23	4	1	Low-quality	Genome-fragment	26.59	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_9085_fragment_1	69948	Yes	57878	106	21	6	Medium-quality	Genome-fragment	84.85	HMM-based (lower-bound)	17.26	1.0	
TC25_k99_5937_fragment_4	59573	Yes	57408	78	27	4	Medium-quality	Genome-fragment	89.98	HMM-based (lower-bound)	3.63	1.0	
TC42_NODE_4_length_2038731_cov_15.672222_fragment_3	21853	No	NA	25	13	2	Low-quality	Genome-fragment	39.75	HMM-based (lower-bound)	0.0	1.01	
TC42_NODE_4_length_2038731_cov_15.672222_fragment_15	20160	No	NA	26	1	3	Low-quality	Genome-fragment	13.93	HMM-based (lower-bound)	0.0	1.0	
TC48_NODE_192_length_27554_cov_2.486054_fragment_1	13740	Yes	8632	15	5	3	Low-quality	Genome-fragment	9.25	HMM-based (lower-bound)	37.18	1.0	
TC50_NODE_7_length_404903_cov_219.973412_fragment_2	77724	Yes	45253	92	9	17	Low-quality	Genome-fragment	39.39	HMM-based (lower-bound)	41.78	1.0	
TC39_NODE_511_length_21034_cov_86.696274	21034	No	NA	22	1	0	Low-quality	Genome-fragment	10.2	HMM-based (lower-bound)	0.0	1.0	
TC22_k99_11250_fragment_1	53664	Yes	50133	82	24	4	Medium-quality	Genome-fragment	76.41	HMM-based (lower-bound)	6.58	1.0	
TC29_NODE_1164_length_6858_cov_13.078294	6858	No	NA	6	5	0	Low-quality	Genome-fragment	16.58	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_1356_length_7716_cov_3.232969	7716	No	NA	8	4	0	Low-quality	Genome-fragment	8.01	HMM-based (lower-bound)	0.0	1.0	
TC37_NODE_63_length_179406_cov_2.528333_fragment_2	16145	No	NA	18	7	0	Low-quality	Genome-fragment	31.07	HMM-based (lower-bound)	0.0	1.0	
TC15_NODE_142_length_78904_cov_1.463486_fragment_2	6136	Yes	4170	8	2	1	Low-quality	Genome-fragment	5.76	HMM-based (lower-bound)	32.04	1.0	
TC9_NODE_2228_length_6709_cov_1.063355	6709	Yes	4076	8	1	1	Low-quality	Genome-fragment	3.63	HMM-based (lower-bound)	39.25	1.0	
TC2_NODE_978_length_7902_cov_0.899035	7902	No	NA	13	1	0	Low-quality	Genome-fragment	16.66	HMM-based (lower-bound)	0.0	1.0	
TC1_NODE_7_length_1551751_cov_58.689835_fragment_8	10919	No	NA	7	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC1_NODE_7_length_1551751_cov_58.689835_fragment_13	32497	No	NA	36	1	4	Low-quality	Genome-fragment	28.85	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_1022_length_13183_cov_1.845129	13183	No	NA	16	7	1	Low-quality	Genome-fragment	16.22	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_34_length_490366_cov_3.009440_fragment_2	20289	No	NA	33	3	1	Low-quality	Genome-fragment	17.77	HMM-based (lower-bound)	0.0	1.0	
TC23_NODE_19_length_552534_cov_19.632887_fragment_4	29988	No	NA	34	15	0	Low-quality	Genome-fragment	40.16	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_129_length_178198_cov_4.280950_fragment_2	40540	Yes	38375	53	22	2	Medium-quality	Genome-fragment	83.0	HMM-based (lower-bound)	5.34	1.0	
TC21_NODE_305_length_31290_cov_1.652408_fragment_1	18276	No	NA	21	14	0	Low-quality	Genome-fragment	27.45	HMM-based (lower-bound)	0.0	1.0	
TC4_NODE_3_length_833065_cov_20.884863_fragment_4	40871	No	NA	62	24	0	Medium-quality	Genome-fragment	83.27	HMM-based (lower-bound)	0.0	1.0	
TC8_NODE_71_length_156221_cov_8.690571_fragment_1	39439	No	NA	58	18	0	Medium-quality	Genome-fragment	85.59	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_76_length_230538_cov_3.780197_fragment_1	37929	No	NA	53	7	2	Low-quality	Genome-fragment	34.94	HMM-based (lower-bound)	0.0	1.0	
TC6_NODE_8_length_890968_cov_10.489581_fragment_11	50125	No	NA	62	8	0	Low-quality	Genome-fragment	40.87	HMM-based (lower-bound)	0.0	1.0	
TC6_NODE_8_length_890968_cov_10.489581_fragment_14	43935	No	NA	37	0	10	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC6_NODE_124_length_52400_cov_14.404090	52400	No	NA	73	8	2	Medium-quality	Genome-fragment	66.84	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_591_length_27071_cov_1.682675	27071	No	NA	39	12	1	Low-quality	Genome-fragment	49.85	HMM-based (lower-bound)	0.0	1.0	
TC46_NODE_897_length_8990_cov_1.257588	8990	No	NA	14	3	0	Low-quality	Genome-fragment	16.68	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_18_length_574092_cov_3.736860_fragment_5	22012	Yes	15421	32	6	7	Low-quality	Genome-fragment	17.19	HMM-based (lower-bound)	29.94	1.0	
TC35_NODE_52_length_75120_cov_138.760244_fragment_2	16706	No	NA	15	5	0	Low-quality	Genome-fragment	14.38	HMM-based (lower-bound)	0.0	1.0	
TC47_NODE_20_length_337701_cov_5.369863_fragment_8	23026	No	NA	39	16	0	Medium-quality	Genome-fragment	51.11	HMM-based (lower-bound)	0.0	1.0	
TC47_NODE_20_length_337701_cov_5.369863_fragment_1	18256	No	NA	29	11	0	Low-quality	Genome-fragment	19.49	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_9812_fragment_1	41726	No	NA	60	12	0	Medium-quality	Genome-fragment	65.57	HMM-based (lower-bound)	0.0	1.0	
TC14_NODE_50_length_190353_cov_1.847450_fragment_2	18906	Yes	12835	20	9	4	Low-quality	Genome-fragment	20.34	HMM-based (lower-bound)	32.11	1.0	
TC45_NODE_65_length_221895_cov_88.612577_fragment_2	12385	No	NA	21	4	2	Low-quality	Genome-fragment	7.2	HMM-based (lower-bound)	0.0	1.0	
TC45_NODE_65_length_221895_cov_88.612577_fragment_3	40028	No	NA	41	11	0	Medium-quality	Genome-fragment	54.57	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_309_length_30984_cov_2.809800	30984	No	NA	48	13	0	Low-quality	Genome-fragment	39.18	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_786_length_9405_cov_1.599052	9405	No	NA	14	5	0	Low-quality	Genome-fragment	11.16	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_29942	33202	No	NA	53	12	1	Low-quality	Genome-fragment	38.47	HMM-based (lower-bound)	0.0	1.0	
TC4_NODE_2_length_1431188_cov_647.988816_fragment_8	100170	Yes	97249	121	8	12	Medium-quality	Genome-fragment	88.43	HMM-based (lower-bound)	2.92	1.01	
TC4_NODE_2_length_1431188_cov_647.988816_fragment_7	9100	No	NA	9	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC19_k99_31380	16223	No	NA	27	14	0	Low-quality	Genome-fragment	21.35	HMM-based (lower-bound)	0.0	1.0	
TC46_NODE_438_length_20334_cov_10.561538_fragment_1	11745	No	NA	14	9	1	Low-quality	Genome-fragment	22.27	HMM-based (lower-bound)	0.0	1.0	
TC1_NODE_32_length_631580_cov_8.521453_fragment_1	43129	Yes	34199	57	9	6	Low-quality	Genome-fragment	32.76	HMM-based (lower-bound)	20.71	1.0	
TC48_NODE_27_length_256534_cov_1.857933_fragment_4	18620	No	NA	17	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC7_NODE_85_length_176779_cov_13.731659_fragment_3	11364	No	NA	12	4	0	Low-quality	Genome-fragment	9.89	HMM-based (lower-bound)	0.0	1.0	
TC7_NODE_85_length_176779_cov_13.731659_fragment_1	12560	No	NA	12	5	0	Low-quality	Genome-fragment	25.41	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_9818	8877	No	NA	10	4	1	Low-quality	Genome-fragment	10.0	HMM-based (lower-bound)	0.0	1.0	
TC18_NODE_6_length_542659_cov_48.629967_fragment_1	13789	No	NA	9	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC1_NODE_131_length_232403_cov_5.343049_fragment_2	61254	Yes	31420	63	14	11	Low-quality	Genome-fragment	30.58	HMM-based (lower-bound)	48.71	1.0	
TC1_NODE_92_length_329205_cov_4.192884_fragment_1	21178	No	NA	28	4	2	Low-quality	Genome-fragment	26.25	HMM-based (lower-bound)	0.0	1.01	
TC47_NODE_67_length_134637_cov_5.871103_fragment_1	24566	No	NA	38	17	0	Medium-quality	Genome-fragment	51.88	HMM-based (lower-bound)	0.0	1.0	
TC13_NODE_347_length_9432_cov_1.379581	9432	No	NA	6	5	0	Low-quality	Genome-fragment	20.15	HMM-based (lower-bound)	0.0	1.0	
TC39_NODE_34_length_404579_cov_7.470906_fragment_6	9791	No	NA	12	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC44_NODE_108_length_144333_cov_27.927368_fragment_1	61167	No	NA	91	36	2	Medium-quality	Genome-fragment	79.19	HMM-based (lower-bound)	0.0	1.0	
TC6_NODE_6_length_893776_cov_98.813834_fragment_12	67609	No	NA	106	32	3	High-quality	High-quality	90.28	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_268_length_37470_cov_1.600514	37470	Yes	32233	39	15	3	Low-quality	Genome-fragment	45.75	HMM-based (lower-bound)	13.98	1.0	
TC19_k99_34167	17716	No	NA	20	5	2	Low-quality	Genome-fragment	24.92	HMM-based (lower-bound)	0.0	1.0	
TC8_NODE_11_length_504904_cov_8.476547_fragment_3	36876	No	NA	47	9	1	Medium-quality	Genome-fragment	64.71	HMM-based (lower-bound)	0.0	1.0	
TC8_NODE_11_length_504904_cov_8.476547_fragment_7	20572	No	NA	26	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC21_NODE_1061_length_7361_cov_1.101189	7361	No	NA	12	8	0	Low-quality	Genome-fragment	11.15	HMM-based (lower-bound)	0.0	1.0	
TC38_NODE_58_length_85867_cov_15.317180_fragment_1	38289	No	NA	54	23	1	Medium-quality	Genome-fragment	79.58	HMM-based (lower-bound)	0.0	1.0	
TC14_NODE_233_length_45725_cov_1.536405_fragment_2	13719	No	NA	18	12	0	Low-quality	Genome-fragment	27.19	HMM-based (lower-bound)	0.0	1.0	
TC28_NODE_503_length_5809_cov_0.798310	5809	No	NA	11	5	1	Low-quality	Genome-fragment	8.13	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_1872_length_7932_cov_1.104548	7932	Yes	5221	9	1	1	Low-quality	Genome-fragment	7.43	HMM-based (lower-bound)	34.18	1.0	
TC11_NODE_241_length_75048_cov_3.418734_fragment_1	64912	Yes	41090	56	11	8	Medium-quality	Genome-fragment	53.32	HMM-based (lower-bound)	36.7	1.0	
TC11_NODE_709_length_21219_cov_1.657453_fragment_1	13042	No	NA	19	8	0	Low-quality	Genome-fragment	29.5	HMM-based (lower-bound)	0.0	1.0	
TC31_NODE_13_length_671382_cov_7.418716_fragment_1	51562	No	NA	71	24	1	Medium-quality	Genome-fragment	71.41	HMM-based (lower-bound)	0.0	1.01	
TC29_NODE_29_length_554407_cov_12.344050_fragment_8	7747	No	NA	8	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC29_NODE_29_length_554407_cov_12.344050_fragment_1	21062	No	NA	25	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC29_NODE_29_length_554407_cov_12.344050_fragment_2	12802	No	NA	11	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC29_NODE_84_length_305247_cov_6.745621_fragment_1	43450	No	NA	60	19	1	Medium-quality	Genome-fragment	77.17	HMM-based (lower-bound)	0.0	1.0	
TC8_NODE_39_length_244599_cov_8.800587_fragment_5	34502	No	NA	47	15	3	Medium-quality	Genome-fragment	63.12	HMM-based (lower-bound)	0.0	1.0	
TC18_NODE_227_length_9107_cov_1.102339	9107	No	NA	13	5	0	Low-quality	Genome-fragment	16.4	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_704_length_18229_cov_3.135620	18229	No	NA	21	3	1	Low-quality	Genome-fragment	27.23	HMM-based (lower-bound)	0.0	1.0	
TC38_NODE_309_length_12255_cov_351.979799	12255	No	NA	11	4	0	Low-quality	Genome-fragment	14.42	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_145_length_164318_cov_63.382829_fragment_2	36633	No	NA	55	16	1	Medium-quality	Genome-fragment	69.59	HMM-based (lower-bound)	0.0	1.01	
TC36_NODE_128_length_67482_cov_7.423042_fragment_2	23720	Yes	17648	26	9	5	Low-quality	Genome-fragment	24.9	HMM-based (lower-bound)	25.6	1.0	
TC29_NODE_51_length_394104_cov_17.550788_fragment_4	49490	No	NA	47	0	14	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC31_NODE_79_length_218616_cov_2.447171_fragment_3	38551	No	NA	44	26	2	Medium-quality	Genome-fragment	87.69	HMM-based (lower-bound)	0.0	1.0	
TC32_NODE_31_length_623493_cov_6.258567_fragment_2	15677	No	NA	18	11	0	Low-quality	Genome-fragment	28.82	HMM-based (lower-bound)	0.0	1.0	
TC31_NODE_628_length_11202_cov_1.167494	11202	No	NA	16	5	0	Low-quality	Genome-fragment	15.16	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_20_length_734242_cov_6.047160_fragment_4	5231	No	NA	8	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC29_NODE_20_length_734242_cov_6.047160_fragment_11	34087	No	NA	40	15	2	Low-quality	Genome-fragment	43.31	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_157_length_151302_cov_49.954106_fragment_2	39723	No	NA	56	26	0	Medium-quality	Genome-fragment	85.73	HMM-based (lower-bound)	0.0	1.0	
TC41_NODE_187_length_45232_cov_35.375790	45232	No	NA	68	30	0	Medium-quality	Genome-fragment	64.77	HMM-based (lower-bound)	0.0	1.0	low-confidence DTR
TC12_NODE_301_length_20469_cov_40.997247	20469	No	NA	20	1	0	Low-quality	Genome-fragment	13.22	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_16_length_813322_cov_4.054799_fragment_5	14306	No	NA	16	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC9_NODE_16_length_813322_cov_4.054799_fragment_16	10889	No	NA	10	1	0	Low-quality	Genome-fragment	8.38	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_16_length_813322_cov_4.054799_fragment_17	21404	No	NA	35	6	3	Low-quality	Genome-fragment	29.32	HMM-based (lower-bound)	0.0	1.0	
TC49_NODE_3_length_824585_cov_11.483758_fragment_8	16808	No	NA	21	12	0	Low-quality	Genome-fragment	30.34	HMM-based (lower-bound)	0.0	1.0	
TC15_NODE_285_length_42799_cov_5.554696_fragment_1	10243	No	NA	12	1	2	Low-quality	Genome-fragment	14.58	HMM-based (lower-bound)	0.0	1.0	
TC22_k99_22133	8009	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC25_k99_1760_fragment_1	62592	No	NA	77	31	0	Medium-quality	Genome-fragment	84.52	HMM-based (lower-bound)	0.0	1.0	
TC17_NODE_605_length_7783_cov_1.026515	7783	No	NA	8	3	0	Low-quality	Genome-fragment	15.16	HMM-based (lower-bound)	0.0	1.0	
TC38_NODE_10_length_634232_cov_15.237639_fragment_4	12499	No	NA	13	7	0	Low-quality	Genome-fragment	25.53	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_29256	9080	No	NA	14	7	0	Low-quality	Genome-fragment	18.32	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_270_length_37224_cov_6.112974	37224	No	NA	58	14	0	Medium-quality	Genome-fragment	57.85	HMM-based (lower-bound)	0.0	1.0	
TC7_NODE_352_length_27904_cov_14.267992_fragment_1	16556	Yes	7015	12	3	6	Low-quality	Genome-fragment	11.4	HMM-based (lower-bound)	57.63	1.0	
TC24_NODE_71_length_293574_cov_4.923611_fragment_1	74168	Yes	56829	84	7	8	Medium-quality	Genome-fragment	62.17	HMM-based (lower-bound)	23.38	1.0	low-confidence Provirus
TC42_NODE_425_length_25072_cov_1.989577	25072	No	NA	39	7	0	Low-quality	Genome-fragment	40.61	HMM-based (lower-bound)	0.0	1.0	
TC5_NODE_325_length_7549_cov_2.278496	7549	No	NA	10	7	0	Low-quality	Genome-fragment	9.97	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_1777_fragment_3	17983	Yes	14183	21	5	4	Low-quality	Genome-fragment	15.2	HMM-based (lower-bound)	21.13	1.0	
TC3_NODE_222_length_5326_cov_222.593383	5326	No	NA	9	1	0	Low-quality	Genome-fragment	6.13	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_8826	5914	No	NA	10	4	0	Low-quality	Genome-fragment	5.29	HMM-based (lower-bound)	0.0	1.0	
TC43_NODE_141_length_85143_cov_2.193587_fragment_1	16886	No	NA	22	9	0	Low-quality	Genome-fragment	24.96	HMM-based (lower-bound)	0.0	1.01	
TC17_NODE_509_length_9166_cov_551.573404	9166	No	NA	8	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC36_NODE_1661_length_5361_cov_1.501528	5361	No	NA	5	4	0	Low-quality	Genome-fragment	10.96	HMM-based (lower-bound)	0.0	1.0	
TC15_NODE_31_length_213053_cov_23.295117_fragment_3	20814	Yes	13257	25	3	3	Low-quality	Genome-fragment	14.24	HMM-based (lower-bound)	36.31	1.0	
TC22_k99_23362_fragment_1	50810	No	NA	84	34	0	Medium-quality	Genome-fragment	76.19	HMM-based (lower-bound)	0.0	1.0	
TC12_NODE_10_length_626767_cov_51.693888_fragment_6	32678	No	NA	36	17	1	Low-quality	Genome-fragment	48.63	HMM-based (lower-bound)	0.0	1.0	
TC30_NODE_4_length_809732_cov_6.471111_fragment_2	15890	No	NA	14	5	1	Low-quality	Genome-fragment	24.18	HMM-based (lower-bound)	0.0	1.0	
TC45_NODE_53_length_265857_cov_35.780277_fragment_3	33862	No	NA	42	12	4	Medium-quality	Genome-fragment	51.6	HMM-based (lower-bound)	0.0	1.0	
TC45_NODE_53_length_265857_cov_35.780277_fragment_1	13452	No	NA	16	4	0	Low-quality	Genome-fragment	26.87	HMM-based (lower-bound)	0.0	1.0	
TC16_NODE_56_length_117433_cov_19.032053_fragment_1	13548	No	NA	29	4	1	Low-quality	Genome-fragment	11.99	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_255_length_62041_cov_4.588300_fragment_1	11212	Yes	6247	10	2	1	Low-quality	Genome-fragment	7.72	HMM-based (lower-bound)	44.28	1.0	
TC9_NODE_535_length_24118_cov_89.510650	24118	No	NA	27	3	3	Low-quality	Genome-fragment	47.16	HMM-based (lower-bound)	0.0	1.01	
TC44_NODE_53_length_317135_cov_78.310213_fragment_1	101840	Yes	89273	127	7	10	Medium-quality	Genome-fragment	87.85	HMM-based (lower-bound)	12.34	1.0	
TC21_NODE_401_length_20686_cov_2.589036	20686	No	NA	22	1	2	Low-quality	Genome-fragment	16.6	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_10419_fragment_1	15451	No	NA	27	12	0	Low-quality	Genome-fragment	22.87	HMM-based (lower-bound)	0.0	1.0	
TC15_NODE_15_length_337329_cov_6.110130_fragment_3	5972	No	NA	8	4	0	Low-quality	Genome-fragment	6.06	HMM-based (lower-bound)	0.0	1.0	
TC42_NODE_125_length_110384_cov_1.626473_fragment_1	31325	No	NA	39	3	7	Low-quality	Genome-fragment	40.95	HMM-based (lower-bound)	0.0	1.0	
TC14_NODE_114_length_86653_cov_1.586783_fragment_1	48525	No	NA	67	20	1	Medium-quality	Genome-fragment	68.79	HMM-based (lower-bound)	0.0	1.0	
TC10_NODE_14_length_440668_cov_4.130989_fragment_6	45449	No	NA	57	19	1	Medium-quality	Genome-fragment	64.94	HMM-based (lower-bound)	0.0	1.0	
TC24_NODE_96_length_220406_cov_78.866102_fragment_4	16666	No	NA	21	1	2	Low-quality	Genome-fragment	17.39	HMM-based (lower-bound)	0.0	1.0	
TC22_k99_23993_fragment_4	45731	Yes	28797	62	9	6	Low-quality	Genome-fragment	27.09	HMM-based (lower-bound)	37.03	1.0	
TC30_NODE_82_length_88032_cov_1.921347_fragment_1	13197	No	NA	17	13	0	Low-quality	Genome-fragment	18.19	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_1680_length_5086_cov_0.661625	5086	No	NA	9	5	0	Low-quality	Genome-fragment	7.02	HMM-based (lower-bound)	0.0	1.0	
TC48_NODE_68_length_100714_cov_2.707149_fragment_1	44369	No	NA	52	25	1	Medium-quality	Genome-fragment	73.71	HMM-based (lower-bound)	0.0	1.0	
TC39_NODE_212_length_58282_cov_3.858052	58282	No	NA	81	17	12	Medium-quality	Genome-fragment	79.25	HMM-based (lower-bound)	0.0	1.0	
TC14_NODE_344_length_31888_cov_1.384213	31888	No	NA	36	16	1	Low-quality	Genome-fragment	40.87	HMM-based (lower-bound)	0.0	1.0	
TC28_NODE_49_length_112296_cov_1.963368_fragment_1	54057	Yes	41051	78	21	10	Medium-quality	Genome-fragment	59.34	HMM-based (lower-bound)	24.06	1.0	
TC22_k99_6894_fragment_3	32045	No	NA	43	16	0	Low-quality	Genome-fragment	46.29	HMM-based (lower-bound)	0.0	1.0	
TC26_NODE_206_length_30119_cov_172.442785	30119	Yes	18365	29	6	4	Low-quality	Genome-fragment	24.5	HMM-based (lower-bound)	39.03	1.0	low-confidence Provirus
TC14_NODE_140_length_72295_cov_279.083721	72295	No	NA	95	7	2	Medium-quality	Genome-fragment	55.93	HMM-based (lower-bound)	0.0	1.0	
TC18_NODE_81_length_51647_cov_12.017042_fragment_1	16843	No	NA	12	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC31_NODE_1093_length_7776_cov_1.142894	7776	No	NA	7	4	0	Low-quality	Genome-fragment	14.05	HMM-based (lower-bound)	0.0	1.0	
TC10_NODE_2_length_1986184_cov_10.343854_fragment_18	15808	No	NA	21	9	0	Low-quality	Genome-fragment	22.08	HMM-based (lower-bound)	0.0	1.0	
TC13_NODE_8_length_701935_cov_11.363343_fragment_5	35966	No	NA	53	23	0	Medium-quality	Genome-fragment	75.76	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_5_length_1129584_cov_3.755553_fragment_12	14402	No	NA	16	9	1	Low-quality	Genome-fragment	27.51	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_5_length_1129584_cov_3.755553_fragment_13	14937	No	NA	22	4	2	Low-quality	Genome-fragment	12.93	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_5_length_1129584_cov_3.755553_fragment_1	12289	No	NA	11	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC19_k99_5624	21497	No	NA	30	13	0	Low-quality	Genome-fragment	31.61	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_97_length_273785_cov_2.597951_fragment_1	46095	No	NA	55	15	0	Medium-quality	Genome-fragment	75.45	HMM-based (lower-bound)	0.0	1.0	
TC32_NODE_96_length_250252_cov_7.117757_fragment_3	49490	No	NA	47	0	14	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC33_NODE_3_length_1754025_cov_26.949056_fragment_4	81845	No	NA	103	31	5	High-quality	High-quality	93.37	HMM-based (lower-bound)	0.0	1.01	
TC29_NODE_15_length_878037_cov_40.119936_fragment_1	18016	No	NA	22	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC29_NODE_15_length_878037_cov_40.119936_fragment_9	20945	Yes	16699	26	11	6	Low-quality	Genome-fragment	24.15	HMM-based (lower-bound)	20.27	1.0	
TC20_NODE_20_length_532931_cov_6.959728_fragment_4	16547	No	NA	22	12	2	Low-quality	Genome-fragment	23.37	HMM-based (lower-bound)	0.0	1.0	
TC20_NODE_20_length_532931_cov_6.959728_fragment_1	21176	No	NA	31	2	2	Low-quality	Genome-fragment	37.96	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_232_length_96751_cov_5.981216_fragment_1	10728	No	NA	18	1	2	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_14_length_418699_cov_4.585020_fragment_1	20885	Yes	15239	31	3	6	Low-quality	Genome-fragment	14.07	HMM-based (lower-bound)	27.03	1.0	
TC9_NODE_65_length_284936_cov_15.489672_fragment_3	68091	Yes	57588	70	13	12	Medium-quality	Genome-fragment	80.11	HMM-based (lower-bound)	15.42	1.0	
TC9_NODE_65_length_284936_cov_15.489672_fragment_4	15487	No	NA	18	2	0	Low-quality	Genome-fragment	25.48	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_91_length_241635_cov_26.107243_fragment_2	34535	Yes	29417	38	9	3	Medium-quality	Genome-fragment	53.47	HMM-based (lower-bound)	14.82	1.0	
TC43_NODE_333_length_7002_cov_18.380945	7002	No	NA	8	1	0	Low-quality	Genome-fragment	6.57	HMM-based (lower-bound)	0.0	1.0	
TC42_NODE_10_length_1381193_cov_62.080597_fragment_3	31409	No	NA	37	13	0	Medium-quality	Genome-fragment	66.31	HMM-based (lower-bound)	0.0	1.0	
TC7_NODE_661_length_6907_cov_1.424189	6907	No	NA	8	2	0	Low-quality	Genome-fragment	14.7	HMM-based (lower-bound)	0.0	1.0	
TC18_NODE_364_length_6697_cov_1.244749	6697	No	NA	9	1	0	Low-quality	Genome-fragment	12.35	HMM-based (lower-bound)	0.0	1.0	
TC31_NODE_32_length_459097_cov_10.645759_fragment_1	63365	Yes	60979	82	27	3	Medium-quality	Genome-fragment	84.42	HMM-based (lower-bound)	3.77	1.0	
TC2_NODE_409_length_42410_cov_149.154365	42410	No	NA	60	20	1	Medium-quality	Genome-fragment	86.33	HMM-based (lower-bound)	0.0	1.0	
TC32_NODE_324_length_28793_cov_2.027803_fragment_1	22150	No	NA	25	7	1	Low-quality	Genome-fragment	24.06	HMM-based (lower-bound)	0.0	1.0	
TC43_NODE_305_length_9483_cov_20.325246	9483	No	NA	13	6	0	Low-quality	Genome-fragment	12.19	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_36297	10637	No	NA	8	2	1	Low-quality	Genome-fragment	8.46	HMM-based (lower-bound)	0.0	1.0	
TC6_NODE_24_length_334762_cov_14.643899_fragment_6	9360	No	NA	8	1	3	Low-quality	Genome-fragment	9.29	HMM-based (lower-bound)	0.0	1.02	
